city,lat,lng,country,iso2,STATE,capital,population,population_proper
Vishākhapatnam,17.7042,83.2978,India,IN,Andhra Pradesh,,2035922,2035922
Vijayavāda,16.5193,80.6305,India,IN,Andhra Pradesh,,1048240,1048240
Ambāpuram,16.599,80.8938,India,IN,Andhra Pradesh,,4110,4110
Guwāhāti,26.1722,91.7458,India,IN,Assam,,1116267,1116267
Muzaffarpur,26.1225,85.3906,India,IN,Bihar,,333200,333200
Sabalpur,25.6053,85.1835,India,IN,Bihar,,18810,18810
Jethuli,25.5378,85.2841,India,IN,Bihar,,11572,11572
Pakri,25.5876,85.158,India,IN,Bihar,,9768,9768
Punādih,25.5484,85.2649,India,IN,Bihar,,8273,8273
Alāwalpur,25.4958,85.2021,India,IN,Bihar,,7827,7827
Mahuli,25.543,85.2268,India,IN,Bihar,,6683,6683
Mirchi,25.5554,85.2139,India,IN,Bihar,,5710,5710
Sonudih,25.1155,87.0214,India,IN,Bihar,,5658,5658
Babura,25.0851,87.1092,India,IN,Bihar,,4755,4755
Tarchha,25.1116,87.0964,India,IN,Bihar,,4198,4198
Simli Murārpur,25.5792,85.2401,India,IN,Bihar,,3739,3739
Sonāwān,25.5445,85.2387,India,IN,Bihar,,3682,3682
Nathupur,25.5163,85.2544,India,IN,Bihar,,3129,3129
Bāli,25.481,85.2227,India,IN,Bihar,,3128,3128
Saino,25.1134,87.0108,India,IN,Bihar,,2987,2987
Shekhpura,25.5725,85.1428,India,IN,Bihar,,2950,2950
Nārāyanpur Kola,25.1293,87.0076,India,IN,Bihar,,2919,2919
Gyan Chak,25.5496,85.2423,India,IN,Bihar,,2855,2855
Harchandi,25.1,87.0442,India,IN,Bihar,,2827,2827
Harna Buzurg,25.0981,87.0148,India,IN,Bihar,,2579,2579
Sultānpur,25.5248,85.2507,India,IN,Bihar,,2473,2473
Supaul,26.126,86.605,India,IN,Bihar,,2229076,2229076
Patna,25.594,85.1376,India,IN,Bihar,admin,1684222,1684222
Chandīgarh,30.75,76.78,India,IN,Chhattisgarh,admin,1055450,1055450
Raipur,21.2444,81.6306,India,IN,Chhattisgarh,admin,1010087,1010087
Bilāspur,22.09,82.15,India,IN,Chhattisgarh,,1625502,1625502
Delhi,28.61,77.23,India,IN,Delhi,admin,32226000,16753235
Najafgarh,28.6092,76.9798,India,IN,Delhi,,1203180,1203180
New Delhi,28.6139,77.2089,India,IN,Delhi,primary,249998,249998
Sultānpur Mazra,28.6981,77.0689,India,IN,Delhi,,163716,163716
Bhālswa Jahangirpur,28.7354,77.1638,India,IN,Delhi,,151427,151427
Nāngloi Jāt,28.6833,77.0667,India,IN,Delhi,,150371,150371
Dalūpura,28.6004,77.3194,India,IN,Delhi,,132628,132628
Ahmedabad,23.0225,72.5714,India,IN,Gujarat,minor,8009000,5570585
Sūrat,21.1702,72.8311,India,IN,Gujarat,,6538000,4466826
Vadodara,22.3,73.2,India,IN,Gujarat,,2065771,2065771
Rājkot,22.3,70.7833,India,IN,Gujarat,,2043000,2043000
Farīdābād,28.4211,77.3078,India,IN,Haryana,,1414050,1414050
Shimla,31.1033,77.1722,India,IN,Himachal Pradesh,admin,206575,206575
Srīnagar,34.09,74.79,India,IN,Jammu and Kashmir,admin,1180570,1180570
Dhanbād,23.7998,86.4305,India,IN,Jharkand,,1162472,1162472
Sijua,23.7762,86.3303,India,IN,Jharkand,,39372,39372
Harilādih,23.7333,86.4,India,IN,Jharkand,,7917,7917
Jamshedpur,22.7925,86.1842,India,IN,Jharkand,,1558000,1558000
Rānchi,23.36,85.33,India,IN,Jharkand,admin,1073440,1073440
Dāsarhalli,13.0465,77.513,India,IN,Karnataka,,349720,349720
Byatarayanpur,13.0659,77.5922,India,IN,Karnataka,,239902,239902
Yelahanka,13.1007,77.5963,India,IN,Karnataka,,119891,119891
Abbigeri,13.0767,77.525,India,IN,Karnataka,,100000,100000
Herohalli,12.9911,77.4873,India,IN,Karnataka,,23851,23851
Chik Bānavar,13.0846,77.5014,India,IN,Karnataka,,14409,14409
Jālhalli,13.0333,77.55,India,IN,Karnataka,,13063,13063
Hunasamaranhalli,13.1435,77.62,India,IN,Karnataka,,9741,9741
Hesarghatta,13.1391,77.4783,India,IN,Karnataka,,9485,9485
Mādnāikanhalli,13.0626,77.4642,India,IN,Karnataka,,7805,7805
Bāgalūr,13.133,77.666,India,IN,Karnataka,,7519,7519
Kādiganahalli,13.1687,77.6283,India,IN,Karnataka,,7225,7225
Arshakunti,13.0785,77.4225,India,IN,Karnataka,,6262,6262
Bayandhalli,12.9779,77.5688,India,IN,Karnataka,,5118,5118
Sondekoppa,13,77.3667,India,IN,Karnataka,,4866,4866
Mādavar,13.0525,77.4732,India,IN,Karnataka,,4678,4678
Kadabgeri,12.9965,77.4331,India,IN,Karnataka,,4573,4573
Kammanhalli,13.0155,77.6381,India,IN,Karnataka,,4144,4144
Sonnappanhalli,13.1557,77.6179,India,IN,Karnataka,,3996,3996
Doddajīvanhalli,13.0086,77.6143,India,IN,Karnataka,,3792,3792
Huttanhalli,13.1651,77.6512,India,IN,Karnataka,,3240,3240
Vājarhalli,13.1022,77.4111,India,IN,Karnataka,,3009,3009
Cāchohalli,13.001,77.4717,India,IN,Karnataka,,2946,2946
Kasgatpur,13.1101,77.5045,India,IN,Karnataka,,2852,2852
Kitanelli,13.0095,77.4191,India,IN,Karnataka,,2827,2827
Bendravādi,12.3636,76.9137,India,IN,Karnataka,,2684,2684
Kodagihalli,12.9771,77.4651,India,IN,Karnataka,,2585,2585
Mailanhalli,13.1863,77.6963,India,IN,Karnataka,,2543,2543
Adakimāranhalli,13.0633,77.4417,India,IN,Karnataka,,2453,2453
Bangalore,12.9789,77.5917,India,IN,Karnataka,admin,15386000,8443675
Indore,22.7167,75.8472,India,IN,Madhya Pradesh,,1994397,1994397
Bhopāl,23.2599,77.4126,India,IN,Madhya Pradesh,admin,1798218,1798218
Jabalpur,23.1667,79.9333,India,IN,Madhya Pradesh,,1267564,1267564
Gwalior,26.2124,78.1772,India,IN,Madhya Pradesh,,1069276,1069276
Nāgpur,21.1497,79.0806,India,IN,Maharashtra,,2405665,2405665
Bhayandar,19.29,72.85,India,IN,Maharashtra,,809378,809378
